,query,query_id,query_type,document,passage_sign_de,passage_sign_ce,input_id
10,Determine the significance of plasmids for bacteria,2718,DESCRIPTION,"Take the Windows Malicious Software Removal Tool. This small, portable utility checks Windows XP, 2000, Server 2003, Vista, and 7 for infection by a range of known threats, including Blaster, MyDoom, and Sasser, and removes any threats it finds.",0,,0
11,Determine the significance of plasmids for bacteria,2718,DESCRIPTION,"A drinking game in which a 25 cup diamond (5 cups wide) is placed in the middle of a table. Teams of up to three compete using three ping pong balls to eliminate the opposing teams territory by shooting the balls into the 10 cup triangle opposite the middle five cups, called borderline. The row called borderline are the only five cups not filled with beer, they are filled normally with water or soda.",0,,0
12,Determine the significance of plasmids for bacteria,2718,DESCRIPTION,"Tzatziki: Cucumber Yogurt Dip. Tzatziki, pronounced sat-ZEE-key (or in Greece cha-CHI-key), is a yogurt-based cucumber sauce traditionally made with strained salted sheep or goat milk yogurt and combined with cucumbers, garlic and herbs.",0,,0
13,Determine the significance of plasmids for bacteria,2718,DESCRIPTION,"On average, concrete slabs can cost anywhere from $75 to $110 per square metre. That's still quite a spread, but it gives you a starting point for comparing quotes.",0,,0
14,Determine the significance of plasmids for bacteria,2718,DESCRIPTION,"Amlodipine 5 mg Tablets. Certain conditions affecting the cardiovascular system, such as hypertension (high blood pressure) and heart disease, can be managed with amlodipine besylate (Norvasc ®), a type of calcium channel blocker.It comes in tablet form and is available in three strengths, including: 1  Amlodipine 2.5 mg tablets.f necessary, your healthcare provider may increase your dose up to amlodipine 10 mg daily. The recommended starting dose for children as young as six years old with high blood pressure is amlodipine 2.5 to 5 mg once daily. As with any medication, side effects may occur with amlodipine.",0,,0
15,Determine the significance of plasmids for bacteria,2718,DESCRIPTION,Rayon was the first generation of these cellulosic fibers. Rayon is known by the names viscose rayon and art silk (abbreviated from “artificial silk”) in the textile industry. It usually has a high luster quality giving it a bright shine. Modal is the second generation and is known for its softness.,0,,0
16,Determine the significance of plasmids for bacteria,2718,DESCRIPTION,"hard to be understood (2 Peter 3:16). IV. Characteristics of God's Word. A. Eternal. Psalms 119:89; Isaiah 30:8; 40:8. Jeremiah 36:22-23, 27-28, 32 (despite evil men's efforts to destroy). Matthew 5:17-18; 24:35; Luke 21:33; 1 Peter 1:23-25. B. Inerrant.",0,,0
17,Determine the significance of plasmids for bacteria,2718,DESCRIPTION,"Average Engineer Salaries. The average salary for engineer jobs is $66,000. Average engineer salaries can vary greatly due to company, location, industry, experience and benefits.This salary was calculated using the average salary for all jobs with the term engineer anywhere in the job listing.verage engineer salaries can vary greatly due to company, location, industry, experience and benefits.",0,,0
18,Determine the significance of plasmids for bacteria,2718,DESCRIPTION,"The National Museum of China, Beijing, China. The Metropolitan Museum of Art, New York City, United States. Vatican Museums, Vatican City. This list of largest art museums in the world ranks art museums and other museums that contain mostly pieces of art by the best available estimates of total exhibition space.",0,,0
19,Determine the significance of plasmids for bacteria,2718,DESCRIPTION,"He noticed that … elements with similar physical and  chemical properties came in intervals of 8. (So the 1st, 8th and  15th element were similar.) He proposed this idea as a unifying  principle of chemistry.",0,,0
20,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"Your doctor or endocrinologist will draw your blood in order to test certain hormone levels. He or she may want to measure the thyroid-stimulating hormone (TSH), T3 (triiodothyronine), and T4 (thyroxine) hormone levels. T3 and T4 are the major hormones produced by your thyroid.",1,1.0,1
21,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"Sometimes, your doctor might also order a test for T3 and/or TSH. The TSH, or thyroid-stimulating hormone, stimulates your thyroid to release both T3 and T4. Performing one or both of these other tests may help your doctor gain a better understanding of your thyroid problem.",1,0.0,1
22,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"Graves’ Disease Blood Tests. Your doctor or endocrinologist will draw your blood in order to test certain hormone levels. He or she may want to measure the thyroid-stimulating hormone (TSH), T3 (triiodothyronine), and T4 (thyroxine) hormone levels. T3 and T4 are the major hormones produced by your thyroid.",1,1.0,1
23,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"TSH stimulates the production and release of T4 (primarily) and T3 from the thyroid gland. Most of the T4 and T3 circulates in the blood bound to protein, while a small percentage is free (not bound). Blood tests can measure total T4, free T4, total T3, or free T3.",1,0.0,1
24,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"Sometimes, your doctor might also order a T4 test and/or a TSH test. T4, or thyroxine, is another hormone produced by your thyroid. TSH (thyroid stimulating hormone) is the hormone that stimulates your thyroid to produce T3 and T4.",1,0.0,1
25,When doctor orders blood test of T4... what is T4,7975,NUMERIC,Thyroid hormone blood tests include: 1  Total thyroxine (T4). 2  Most of the thyroxine (T4) in the blood is attached to a protein called thyroxine-binding globulin. 3  Less than 1% of the T4 is unattached. 4  A total T4 blood test measures both bound and free thyroxine.,1,0.0,1
26,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"If your TSH level is very low, the doctor may want to also check your T3 and T4 hormone levels as he or she works towards a diagnosis of Graves’ disease. of T3 and T4 are needed to regulate your body’s metabolism at the cellular level, so in the blood test, your doctor will be looking for abnormal levels.",1,0.0,1
27,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"Your doctor may also order a T4 test. Most of the T4 in your blood attaches to a protein, and when it does, it can’t get into your cells. Only T4 that is unattached or “free” can get into your cells to go to work. A blood test can measure how much free T4 is available.",1,0.0,1
28,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"Blood tests can measure total T4, free T4, total T3, or free T3. The total T4 test has been used for many years, but it can be affected by the amount of protein available in the blood to bind to the hormone. Free T4 is not affected by protein levels and is the active form of thyroxine.",1,0.0,1
29,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"Most of the T4 and T3 circulates in the blood bound to protein, while a small percentage is free (not bound). Blood tests can measure total T4, free T4, total T3, or free T3. The total T4 test has been used for many years, but it can be affected by the amount of protein available in the blood to bind to the hormone.",1,0.0,1
30,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"Enzyme catalysis is the increase in the rate of a chemical reaction by the active site of a protein. The protein catalyst may be part of a multi-subunit complex, and/or may transiently or permanently associate with a Cofactor. Catalysis of biochemical reactions in the cell is vital due to the very low reaction rates of the uncatalysed reactions at room temperature and pressure. A key driver of protein evolution is the optimization of such catalytic activities via protein dynamics. The mechanism",0,,1
31,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"How it works. A compass points north because all magnets have two poles, a north pole and a south pole, and the north pole of one magnet is attracted to the south pole of another magnet. (You may have seen this demonstrated by a pair of simple bar magnets or refrigerator magnets pushed end to end.). magnet is what makes a compass point north -- the small magnetic pin in a compass is suspended so that it can spin freely inside its casing and respond to our planet's magnetism.",0,,1
32,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"The tread of a tire or track refers to the rubber on its circumference that makes contact with the road or the ground. As tires are used, the tread is worn off, limiting its effectiveness in providing traction. A worn tire can often be retreaded.",0,,1
33,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"Hvac Service Technician Jobs In Dallas, TX (Hiring) – Dallas … Local Careers: find all jobs in Dallas (8.9% unemployment rate; $40,317 average salary). Refine your Hvac Service Technician job search to find new opportunities in Dallas Texas and top paying openings in the ZIP codes – 75053 jobs, 76196 jobs and more.",0,,1
34,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"The Cambridge English Dictionary is constantly being updated and expanded to reflect the interests of our users. One area of particular interest to our users is that of English Language Teaching (ELT), and a number of ELT terms have recently been added to the dictionary. We’ve added some of the words that learners of English might.",0,,1
35,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"Pre-order sales for the Xbox One are open now - and there have already been over 500,000 people who have forked out for one. The UK release date for the Xbox One is November 22, and it will go on sale at midnight at stores across the country.",0,,1
36,When doctor orders blood test of T4... what is T4,7975,NUMERIC,Contact details for enquiries regarding your £2 Statutory Credit Report. Email: consumer.helpservice@uk.experian.com. Postal Address: Please include the credit report reference number and your contact details when contacting us. Note that we can only resolve your £2 Statutory Credit Report disputes by email or post.,0,,1
37,When doctor orders blood test of T4... what is T4,7975,NUMERIC,45cm x 36cm x 20cm. (18in x 14in x 8in). Hand baggage allowances and policies vary by airline and your hand baggage allowance for a flight is always determined by the operating airline.,0,,1
38,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"Deodorant stones contain chemicals which stop sweat glands from sweating. The things that they make smell better are armpits and feet, by preventing odors from developing. Typically, a deodorant stone contains alum, or hydrated potassium aluminum sulfate.",0,,1
39,When doctor orders blood test of T4... what is T4,7975,NUMERIC,"A: TriPollar Radio Frequency (RF) technology is an innovative proprietary 3rd generation RF technology developed by Pollogen Ltd. TriPollar harnesses the inherent benefits of RF technology and overcomes the limitations of previous mono-polar and bi-polar technologies. It is simple to use and extremely efficient.umiere’s TriPollar treatment involves a handheld device that the practitioner applies along the target area, such as your thighs, stomach, arms and even the face. As the skin and underlying tissue heats up, existing collagen contracts, inducing immediate tightening.",0,,1
40,a) what is a financial statement analysis,9529,DESCRIPTION,"Financial Statement Analysis. Overview of Financial Statement Analysis. Financial statement analysis involves the identification of the following items for a company's financial statements over a series of reporting periods: 1  Trends. 2  Create trend lines for key items in the financial statements over multiple time periods, to see how the company is performing.",1,0.0,2
41,a) what is a financial statement analysis,9529,DESCRIPTION,Inventory turnover measures the efficiency of the firm in managing and selling inventory. Inventory turnover is calculated with cost of goods sold in the numerator. Inventory turnover is a gauge of the liquidity of a firm's inventory. A low inventory turnover is generally a sign of efficient inventory management.,1,0.0,2
42,a) what is a financial statement analysis,9529,DESCRIPTION,Introduction to Financial Ratios. When computing financial ratios and when doing other financial statement analysis always keep in mind that the financial statements reflect the accounting principles. This means assets are generally not reported at their current value.,1,0.0,2
43,a) what is a financial statement analysis,9529,DESCRIPTION,"Finally, finance involves analyzing the data contained in financial statements in order to provide valuable information for management decisions. In this way, financial analysis is only one part of the overall function of finance, but it is a very important one. A company's accounts and statements contain a great deal of information. Discovering the full meaning contained in the statements is at the heart of financial analysis.",1,0.0,2
44,a) what is a financial statement analysis,9529,DESCRIPTION,"Watch short & fun videos Start Your Free Trial Today. Instructor: Shawn Grimsley. Financial reporting is a vital part of corporate governance. In this lesson, you'll learn what financial reporting is, its primary components, its purpose, and be provided some examples. A short quiz follows the lesson.",1,0.0,2
45,a) what is a financial statement analysis,9529,DESCRIPTION,Financial analysis is an aspect of the overall business finance function that involves examining historical data to gain information about the current and future financial health of a company.,1,0.0,2
46,a) what is a financial statement analysis,9529,DESCRIPTION,To determine the company's taxes for the current year. To determine if the firm would be a good place to obtain employment. To decide whether the borrower has the ability to repay interest and principal on borrowed funds. To determine whether an investment is warranted by estimating a company's future earnings stream.,1,0.0,2
47,a) what is a financial statement analysis,9529,DESCRIPTION,"Financial statement analysis is an exceptionally powerful tool for a variety of users of financial statements, each having different objectives in learning about the financial circumstances of the entity. Users of Financial Statement Analysis. There are a number of users of financial statement analysis.",1,1.0,2
48,a) what is a financial statement analysis,9529,DESCRIPTION,"Understanding the economic and political environment in which the company operates. Reviewing the annual reports of a company's suppliers, customers, and competitors. Preparing common-size financial statements and calculating key financial ratios for the company being evaluated.",1,0.0,2
49,a) what is a financial statement analysis,9529,DESCRIPTION,A document filed with the American Institute of Certified Public Accountants (AICPA) containing supplementary schedules showing management remuneration and elaborations of financial statement disclosures. A document filed with the SEC containing key business ratios and forecasts of earnings.,1,0.0,2
50,a) what is a financial statement analysis,9529,DESCRIPTION,"Carefully remove the bandage. The jury is still out on how long a bandage should be left on before it is removed. Most artists agree that you should keep your tattoo covered for a minimum of two hours before removing, but the recommended maximum amount of time varies between 4 and 6 hours. Tattoos covered in plastic wrap are the exception; plastic wrap should never be left on a new tattoo for longer than two hours.",0,,2
51,a) what is a financial statement analysis,9529,DESCRIPTION,"Feb 25, 2016. If you're looking for the best possible time to buy the cheapest plane ticket, try 54 days from your day of departure. That is the exact moment when you will save the most on domestic flight tickets, according to a study by CheapAir.com that analyzed 1.3 billion airfares over the last year.",0,,2
52,a) what is a financial statement analysis,9529,DESCRIPTION,"Air Supply is an Australian soft rock duo, consisting of British-born singer-songwriter and guitarist Graham Russell and lead vocalist Russell Hitchcock.They had a succession of hits worldwide, including eight Top Ten hits in the United States, in the early 1980s.ir Supply performed in London supporting Chicago and Boz Scaggs. Although their music had some commercial success, Russell claimed, on a 1995 DVD, that he and Hitchcock were so poor that they checked the backs of hotel sofas for change so that they could buy bread to make toast.",0,,2
53,a) what is a financial statement analysis,9529,DESCRIPTION,"Popular among gardeners, clematis is a flowering vine from the Ranunculaceae family. While beautiful and decorative for the garden, clematis contains glycosides that, when ingested by your favorite pooch, can be fatal. Luckily, clematis has a natural form of protection -- a bitter taste.",0,,2
54,a) what is a financial statement analysis,9529,DESCRIPTION,"Traction Control. Works in the background to help accelerate and prevent wheel slippage (or “over-spinning”) when driving on slippery surfaces. Traction control is most effective when accelerating from a stopped or slowed position, or when trying to accelerate up a slippery hill. This feature provides a lot of benefits to drivers, from making driving smoother to helping them stay in control of the car on icy roads or during rainy weather.",0,,2
55,a) what is a financial statement analysis,9529,DESCRIPTION,"The English word 'currant' has been used for this fruit only since 1550, taken from the fruit's resemblance to the dried currants of Greece, raisins made from a small seedless grape. The much older English name 'ribes' is of ancient Indo-European origin and is common to other languages. Species: Red, pink and white currants belong to three European species (Ribes rubrum, R. petraeum, R. sativum). Black currants are related to European (R. nigrum) and Asian (R. ussuriense) species.",0,,2
56,a) what is a financial statement analysis,9529,DESCRIPTION,A business's expenses for the materials and labor it uses in production. Prime cost is a way of measuring the total cost of the production inputs needed to create a given output.,0,,2
57,a) what is a financial statement analysis,9529,DESCRIPTION,"What tools do I need to build the bandsaw. How much does it cost to build the bandsaw. How long does it take to build the bandsaw. For my 20 bandsaw, if I wasn't debugging the design or shooting and video as I went, each video would have been about one day, except for making the frame. Preparing all that used wood took some extra time. Also, varnishing doesn't include drying time.",0,,2
58,a) what is a financial statement analysis,9529,DESCRIPTION,"Gunpowder, also known as black powder, is a chemical explosive —the earliest known. It is a mixture of sulfur, charcoal, and potassium nitrate (saltpeter).The sulfur and charcoal act as fuels, and the saltpeter is an oxidizer.hinese military forces used gunpowder-based weapons (i.e. rockets, guns, cannons) and explosives (i.e. grenades and different types of bombs) against the Mongols when the Mongols attempted to invade and breach city fortifications on China's northern borders.",0,,2
59,a) what is a financial statement analysis,9529,DESCRIPTION,"Welcome to Riverhead Nissan​. At Riverhead Nissan, we offer you a large selection of Nissan new cars, SUVs, and other styles that we sell, all at affordable prices.",0,,2
60,age of majority to contract,13774,NUMERIC,"Contract by a Minor. With some exceptions, a contract made by a minor is voidable. The minor, in other words, may avoid the legal liability under a contract. Upon reaching the age of majority, a minor may affirm or ratify the contract and therefore make it contractually binding on him.",1,0.0,3
61,age of majority to contract,13774,NUMERIC,"Age of Majority Law and Legal Definition. The age of majority is the legally defined age at which a person is considered an adult, with all the attendant rights and responsibilities of adulthood. The age of majority is defined by state laws, which vary by state, but is 18 in most states.",1,0.0,3
62,age of majority to contract,13774,NUMERIC,"A minor who has been emancipated has all the contractual rights and obligations of a person who has reached the age of majority. Unless the minor has been emancipated, they have distinct contractual rights. The first right granted to minors in contract law cases is the right to disaffirm.",1,0.0,3
63,age of majority to contract,13774,NUMERIC,"Rights acquired upon reaching the age of majority include the rights to vote and consent to marriage, among others. However, the right to vote is 18 nationwide under the 26th Amendment to the Constitution, regardless of the state laws. It is the age at which one becomes a legal adult and gains full legal rights.",1,0.0,3
64,age of majority to contract,13774,NUMERIC,"Fay, age 17, ordered a pair of skis on the installment plan. She paid $20 every month until she turned 18, the age of majority. The next day, she sold them to Sharon and disaffirmed the contract.",1,1.0,3
65,age of majority to contract,13774,NUMERIC,There are several restrictions placed in contract law cases on when a minor is permitted to disaffirm a contract agreement. The minor must disaffirm the contract agreement within a reasonable amount of time of reaching the age of majority.,1,0.0,3
66,age of majority to contract,13774,NUMERIC,"Percy, age 17, purchased a used mobile home from a mobile home dealer for $20,000. This price, however, was twice the reasonable value of the mobile home. One month later, Percy wishes to disaffirm the contract. If the mobile home is considered a necessary, then:",1,0.0,3
67,age of majority to contract,13774,NUMERIC,"A minor may, however, repudiate a contract within a reasonable time after reaching majority. In the state of Alabama, the legal age for most purposes is the age of nineteen (19). For particular information relative to legal age in Alabama, see Code Section 26-1-1. Its' effective date was July 22, 1975.",1,0.0,3
68,age of majority to contract,13774,NUMERIC,"After a minor reaches the age of majority, he can ratify the contract. Once the contract has been ratified, the ex-minor cannot change his mind and avoid the contract. Ratification consists of any words or conduct of the minor which shows an intent to be bound by the contract.",1,0.0,3
69,age of majority to contract,13774,NUMERIC,"Upon reaching the age of majority, the minor may choose to disaffirm the contract they were entered into while in the minority. If they do not disaffirm the contract within a reasonable period of time, they are considered to have ratified the contract.",1,0.0,3
70,age of majority to contract,13774,NUMERIC,"http%3a%2f%2fwww.morningstar.com%2fInvGlossary%2fGlossary.aspx%3fterm%3daverage_maturity. Average Maturity. This figure is computed by weighting the maturity of each security in the portfolio by the market value of the security, then averaging these weighted figures. We list Average Effective Maturity for taxable-bond and hybrid funds. We list Average Nominal Maturity for municipal-bond funds.",0,,3
71,age of majority to contract,13774,NUMERIC,"Dr. Warren Zeitlin, MD PC MDPC is one of the country's top rated doctors, specializing in cardiovascular disease. MD PC MDPC Zeitlin currently practices medicine at Sedona, Arizona. Dr. Zeitlin is a graduate of Albert Einstein College Of Medicine Of Yeshiva University and is licensed to see patients in Arizona. Based on an in-depth analysis of Dr. Zeitlin's network, experience and credentials, he has been found to be rated among the 20% of doctors nationwide.",0,,3
72,age of majority to contract,13774,NUMERIC,old nickel values are benefiting from renewed collector demand the new higher values for all the nickel series are covered here from three cent nickels and shield nickels worth a minimum of $ 11 to $ 17 each in good conditionfollowed by liberty nickels find any of these in a well preserved condition and you have a $ 20 to $ 30 coin next everyone s favorite the buffalo nickel where some of the higher old nickel values are foundeven a heavily circulated buffalo is worth 45 cents discover a 1919 d 1921 s or a 1926 s buffalo nickel in your group and the value climbs into the hundreds of dollars for a nice coinowever find the d mintmark on the reverse and the value jumps to $ 1 50 or more another example a buffalo nickel with the date worn away is a ten cent coin a partial date is worth 15 cents and a full date is worth 45 cents or more you often discover higher value by looking closely at the condition of your coins,0,,3
73,age of majority to contract,13774,NUMERIC,"The world's largest bay can be found in the northern Indian Ocean. It is the Bay of Bengal and covers a watery 2.2 million km² and reaches a depth of up to depth of 5,258 meters. Hudson Bay, in Canada, is the world's largest bay measured by shoreline, which covers 12,268 kilometers or 7,623 miles but the bay itself dwarfs compared to the Bay of Bengal at a mere 1.23 million km².",0,,3
74,age of majority to contract,13774,NUMERIC,"Rockwall, Texas. Rockwall is a city in Rockwall County, Texas, United States, and a suburb of Dallas and part of the Dallas/Fort Worth Metroplex. It is the county seat of Rockwall County. The population was 37,490 at the 2010 census.",0,,3
75,age of majority to contract,13774,NUMERIC,"Capital territoryEdit. 1  In Australia, the capital Canberra lies within the Australian Capital Territory and was originally called the FCT. 2  The National Capital Territory is where New Delhi, the capital of India, is located. 3  Nigeria has its capital Abuja in the Federal Capital Territory.",0,,3
76,age of majority to contract,13774,NUMERIC,"To get carpets and upholstery truly clean, you need a professional carpet hot water extractor. Carpet extractors, also called carpet shampooers, are an auto detailing essential, especially for anyone in the business of detailing.These carpet cleaning machines break up tough greasy stains using the power of hot water and eliminate the mess with powerful suction.here's one to suit your interior detailing needs. Clean, spot-free carpet, rugs, and upholstery are a sign of a great detailer. Impress your clients and keep them coming back with a professional hot water carpet extractor.",0,,3
77,age of majority to contract,13774,NUMERIC,"Population Demographics for Worthington, Ohio in 2016 and 2015.",0,,3
78,age of majority to contract,13774,NUMERIC,"Feb 25, 2016. If you're looking for the best possible time to buy the cheapest plane ticket, try 54 days from your day of departure. That is the exact moment when you will save the most on domestic flight tickets, according to a study by CheapAir.com that analyzed 1.3 billion airfares over the last year.",0,,3
79,age of majority to contract,13774,NUMERIC,Immediate After Care. • It is recommended that you do not shower for 10-12 hours if you use our original formula and 2-6 hours if you use our express formula. Showering before the 10-12/2-6 hour time frame may lighten up your color and impact the results of the spray tan.,0,,3
80,are patent infringement costs deductible,24141,DESCRIPTION,"The costs of obtaining a patent, including attorneys’ fees paid or incurred in making and perfecting a patent application, are research and experimental costs. However, costs paid or incurred to obtain another’s patent are not research and experimental costs.",1,0.0,4
81,are patent infringement costs deductible,24141,DESCRIPTION,IF you. . . THEN. . . Elect to deduct research and experimental costs as a current business expense. Deduct all research and experimental costs in the first year you pay or incur the costs and all later years.,1,0.0,4
82,are patent infringement costs deductible,24141,DESCRIPTION,"Rather than amortize these costs or deduct them as a current expense, you have the option of deducting (writing off) research and experimental costs ratably over a 10-year period beginning with the tax year in which you incurred the costs.",1,0.0,4
83,are patent infringement costs deductible,24141,DESCRIPTION,"If you are engaged in a trade or business, then the costs you incur for attorney fees to obtain a patent may be deductible in the year they are incurred if the taxpayer adopts the method allowing such deductions. Consult your accountant to see if you can qualify. IRS Regulations. Attorneys' fees expended in making and perfecting a patent application may be deductible as research or experimental expenditures under section 174 of the Internal Revenue Code, according to IRS regulation 26 CFR 1.174-2.",1,0.0,4
84,are patent infringement costs deductible,24141,DESCRIPTION,"Although it may not seem like an R&E expense, the cost of obtaining a patent is also currently deductible under Section 174. This includes both attorney fees and patent filing fees. This is one of the largest expenses many independent inventors have.",1,1.0,4
85,are patent infringement costs deductible,24141,DESCRIPTION,"Indeed, once your invention is perfected, you’ll likely have no more R&E expenses deductible under Section 174 (but you may deduct the cost of obtaining a patent as mentioned above). However, these non-R&E expenses may be currently deductible as ordinary and necessary business expenses.",1,0.0,4
86,are patent infringement costs deductible,24141,DESCRIPTION,"However, you can elect to deduct these costs as a current business expense. Your election to deduct these costs is binding for the year it is made and for all later years unless you get IRS approval to make a change. If you meet certain requirements, you may elect to defer and amortize research and experimental costs.",1,0.0,4
87,are patent infringement costs deductible,24141,DESCRIPTION,"Do not deduct research and experimental costs as a current business expense. If you meet the requirements, amortize them over at least 60 months, starting with the month you first receive an economic benefit from the research. See Research and Experimental Costs in chapter 8.",1,0.0,4
88,are patent infringement costs deductible,24141,DESCRIPTION,"There is no dollar limit on the amount of Section 174 deductions you can take each year, but your deductions must be reasonable in amount. “Reasonable” means that the amount you spend for R&E must be about what would ordinarily be paid for similar expenses by similar types of businesses.",1,0.0,4
89,are patent infringement costs deductible,24141,DESCRIPTION,"IRS Regulations. Attorneys' fees expended in making and perfecting a patent application may be deductible as  research or experimental expenditures  under section 174 of the Internal Revenue Code, according to IRS regulation 26 CFR 1.174-2.",1,0.0,4
90,are patent infringement costs deductible,24141,DESCRIPTION,"How much does it cost to lay paving slabs labour only per meter square. Prices vary according to information supplied by different sources, but you'll be looking at an average labour cost of £25 per square metre (slabs not included). Patios provide an excellent outdoor space in which to perform various functions.",0,,4
91,are patent infringement costs deductible,24141,DESCRIPTION,"Since Ruby Tuesday is known for their fast food, you should be aware of how many calories and fats are packed in the food you order. 1  Top Sirloin: 443 calories, 27 g fat, 13 g carbs.",0,,4
